StartMonth,Total tourists,Rain,Temperature
01-01-12,1764000,27.16129032,4.880645161
02-01-12,1791000,6.75862069,0.8
03-01-12,2197000,6.35483871,8.293548387
04-01-12,3148000,15.73333333,8.383333333
05-01-12,3629000,27.09677419,14.4516129
06-01-12,3289000,30.2,14.86666667
07-01-12,3522000,29.38709677,17.25483871
08-01-12,3933000,29.5483871,18.45806452
09-01-12,3082000,18.86666667,14.15333333
10-01-12,2910000,32.93548387,10.50322581
11-01-12,2187000,13.53333333,6.84
12-01-12,1900000,47.35483871,5.038709677
01-01-13,1690000,18.96774194,2.016129032
02-01-13,1791000,16.96428571,1.660714286
03-01-13,2243000,11.64516129,2.45483871
04-01-13,2914000,7.466666667,8.126666667
05-01-13,3796000,28.03225806,11.49354839
06-01-13,3333000,16.53333333,15.25333333
07-01-13,3737000,12.83870968,19.19032258
08-01-13,4179000,8.483870968,18.07096774
09-01-13,3157000,37.76666667,14.44666667
10-01-13,2921000,51.83870968,12.16774194
11-01-13,2278000,38.16666667,6.73
12-01-13,2012000,21.41935484,5.925806452
01-01-14,1826000,19.96774194,5.651612903
02-01-14,1895000,23.60714286,6.5
03-01-14,2410000,8.096774194,8.412903226
04-01-14,3162000,19.33333333,12.11333333
05-01-14,3626000,32.83870968,13.23870968
06-01-14,3868000,9.966666667,16.18333333
07-01-14,3700000,44.16129032,19.7516129
08-01-14,4281000,48,16.09032258
09-01-14,3368000,6.666666667,15.85333333
10-01-14,3270000,24,13.42903226
11-01-14,2331000,15.43333333,8.173333333
12-01-14,2118000,31.87096774,4.84516129
01-01-15,1889000,37.22580645,4.019354839
02-01-15,2106000,21.57142857,3.489285714
03-01-15,2373000,19.19354839,6.158064516
04-01-15,3272000,6.9,8.99
05-01-15,4036000,14.90322581,12.36451613
06-01-15,3617000,10.73333333,15.6
07-01-15,4079000,29.4516129,18.38387097
08-01-15,4449000,36.74193548,18.45483871
09-01-15,3316000,29.4,13.4
10-01-15,3401000,10.48387097,9.890322581
11-01-15,2522000,49.36666667,9.88
12-01-15,2258000,13.4516129,9.629032258
01-01-16,2048000,37.41935484,4.783870968
02-01-16,2324000,28.27586207,4.582758621
03-01-16,2704000,17.70967742,5.358064516
04-01-16,3278000,27.43333333,8.68
05-01-16,4165000,14.61290323,14.50967742
06-01-16,3526000,51.4,16.82
07-01-16,4085000,23.51612903,18.37096774
08-01-16,4527000,23.06451613,17.88064516
09-01-16,3675000,5.733333333,17.26333333
10-01-16,3615000,15.06451613,9.887096774
11-01-16,2571000,24.8,5.413333333
12-01-16,2365000,5.387096774,4.667741935
01-01-17,2352000,18.74193548,1.564516129
02-01-17,2326000,27.60714286,5.05
03-01-17,2849000,19.96774194,8.593548387
04-01-17,3942000,7.9,8.556666667
05-01-17,4215000,11.35483871,14.97096774
06-01-17,4286000,20.2,18.04333333
07-01-17,4414000,42.32258065,17.94516129
08-01-17,4661000,17.09677419,17.2483871
09-01-17,3837000,40.3,13.67666667
10-01-17,3823000,27.38709677,13.34193548
11-01-17,2818000,24.7,7.263333333
12-01-17,2711000,52.29032258,4.880645161
01-01-18,2504000,27.41935484,5.622580645
02-01-18,2490000,6.892857143,0.682142857
03-01-18,3133000,19,4.738709677
04-01-18,3907000,26.36666667,12.15333333
05-01-18,4567000,12.09677419,16.42580645
06-01-18,4210000,3.6,17.49666667
07-01-18,4546000,1.483870968,20.7
08-01-18,4947000,22.32258065,18.50645161
09-01-18,3991000,13.66666667,14.74666667
10-01-18,3967000,11.61290323,11.94193548
11-01-18,2959000,11.56666667,6.81
12-01-18,2692000,32.4516129,6.138709677
