Period,Accomodation type,Travel,Tourists
1-Apr-19,Hotel,International,1538000
1-May-19,Hotel,International,1410000
1-Jun-19,Hotel,International,1442000
1-Jul-19,Hotel,International,1530000
1-Aug-19,Hotel,International,1504000
1-Sep-19,Hotel,International,1308000
1-Oct-19,Hotel,International,1360000
1-Nov-19,Hotel,International,1163000
1-Dec-19,Hotel,International,1048000
1-Jan-20,Hotel,International,956000
1-Feb-20,Hotel,International,990000
1-Mar-20,Hotel,International,418000
1-Apr-20,Hotel,International,49000
1-May-20,Hotel,International,84000
1-Jun-20,Hotel,International,320000
1-Jul-20,Hotel,International,718000
1-Aug-20,Hotel,International,731000
1-Sep-20,Hotel,International,434000
1-Oct-20,Hotel,International,175000
1-Nov-20,Hotel,International,119000
1-Dec-20,Hotel,International,107000
1-Jan-21,Hotel,International,97000
1-Feb-21,Hotel,International,90000
1-Mar-21,Hotel,International,106000
1-Apr-21,Hotel,International,110000
1-May-21,Hotel,International,207000
1-Jun-21,Hotel,International,301000
1-Jul-21,Hotel,International,551000
1-Jan-12,Camping,Domestic,7000
1-Jan-12,Camping,International,5000
1-Feb-12,Camping,Domestic,7000
1-Feb-12,Camping,International,4000
1-Mar-12,Camping,Domestic,31000
1-Mar-12,Camping,International,11000
1-Apr-12,Camping,Domestic,223000
1-Apr-12,Camping,International,89000
1-May-12,Camping,Domestic,616000
1-May-12,Camping,International,114000
1-Jun-12,Camping,Domestic,431000
1-Jun-12,Camping,International,95000
1-Jul-12,Camping,Domestic,641000
1-Jul-12,Camping,International,149000
1-Aug-12,Camping,Domestic,793000
1-Aug-12,Camping,International,185000
1-Sep-12,Camping,Domestic,315000
1-Sep-12,Camping,International,66000
1-Oct-12,Camping,Domestic,146000
1-Oct-12,Camping,International,41000
1-Nov-12,Camping,Domestic,10000
1-Nov-12,Camping,International,9000
1-Dec-12,Camping,Domestic,8000
1-Dec-12,Camping,International,4000
1-Jan-13,Camping,Domestic,6000
1-Jan-13,Camping,International,4000
1-Feb-13,Camping,Domestic,6000
1-Feb-13,Camping,International,4000
1-Mar-13,Camping,Domestic,21000
1-Mar-13,Camping,International,15000
1-Apr-13,Camping,Domestic,166000
1-Apr-13,Camping,International,59000
1-May-13,Camping,Domestic,566000
1-May-13,Camping,International,126000
1-Jun-13,Camping,Domestic,439000
1-Jun-13,Camping,International,101000
1-Jul-13,Camping,Domestic,709000
1-Jul-13,Camping,International,162000
1-Aug-13,Camping,Domestic,788000
1-Aug-13,Camping,International,222000
1-Sep-13,Camping,Domestic,281000
1-Sep-13,Camping,International,69000
1-Oct-13,Camping,Domestic,121000
1-Oct-13,Camping,International,46000
1-Nov-13,Camping,Domestic,8000
1-Nov-13,Camping,International,9000
1-Dec-13,Camping,Domestic,8000
1-Dec-13,Camping,International,4000
1-Jan-14,Camping,Domestic,7000
1-Jan-14,Camping,International,6000
1-Feb-14,Camping,Domestic,5000
1-Feb-14,Camping,International,3000
1-Mar-14,Camping,Domestic,26000
1-Mar-14,Camping,International,16000
1-Apr-14,Camping,Domestic,210000
1-Apr-14,Camping,International,99000
1-May-14,Camping,Domestic,404000
1-May-14,Camping,International,72000
1-Jun-14,Camping,Domestic,595000
1-Jun-14,Camping,International,168000
1-Jul-14,Camping,Domestic,603000
1-Jul-14,Camping,International,153000
1-Aug-14,Camping,Domestic,722000
1-Aug-14,Camping,International,218000
1-Sep-14,Camping,Domestic,301000
1-Sep-14,Camping,International,77000
1-Oct-14,Camping,Domestic,134000
1-Oct-14,Camping,International,69000
1-Nov-14,Camping,Domestic,9000
1-Nov-14,Camping,International,11000
1-Dec-14,Camping,Domestic,7000
1-Dec-14,Camping,International,5000
1-Jan-15,Camping,Domestic,6000
1-Jan-15,Camping,International,6000
1-Feb-15,Camping,Domestic,8000
1-Feb-15,Camping,International,7000
1-Mar-15,Camping,Domestic,21000
1-Mar-15,Camping,International,15000
1-Apr-15,Camping,Domestic,154000
1-Apr-15,Camping,International,92000
1-May-15,Camping,Domestic,506000
1-May-15,Camping,International,145000
1-Jun-15,Camping,Domestic,393000
1-Jun-15,Camping,International,118000
1-Jul-15,Camping,Domestic,629000
1-Jul-15,Camping,International,188000
1-Aug-15,Camping,Domestic,756000
1-Aug-15,Camping,International,216000
1-Sep-15,Camping,Domestic,230000
1-Sep-15,Camping,International,69000
1-Oct-15,Camping,Domestic,126000
1-Oct-15,Camping,International,67000
1-Nov-15,Camping,Domestic,12000
1-Nov-15,Camping,International,11000
1-Dec-15,Camping,Domestic,10000
1-Dec-15,Camping,International,8000
1-Jan-16,Camping,Domestic,9000
1-Jan-16,Camping,International,9000
1-Feb-16,Camping,Domestic,6000
1-Feb-16,Camping,International,6000
1-Mar-16,Camping,Domestic,31000
1-Mar-16,Camping,International,30000
1-Apr-16,Camping,Domestic,152000
1-Apr-16,Camping,International,59000
1-May-16,Camping,Domestic,498000
1-May-16,Camping,International,165000
1-Jun-16,Camping,Domestic,340000
1-Jun-16,Camping,International,87000
1-Jul-16,Camping,Domestic,552000
1-Jul-16,Camping,International,191000
1-Aug-16,Camping,Domestic,784000
1-Aug-16,Camping,International,218000
1-Sep-16,Camping,Domestic,327000
1-Sep-16,Camping,International,98000
1-Oct-16,Camping,Domestic,131000
1-Oct-16,Camping,International,81000
1-Nov-16,Camping,Domestic,9000
1-Nov-16,Camping,International,13000
1-Dec-16,Camping,Domestic,10000
1-Dec-16,Camping,International,7000
1-Jan-17,Camping,Domestic,7000
1-Jan-17,Camping,International,8000
1-Feb-17,Camping,Domestic,5000
1-Feb-17,Camping,International,8000
1-Mar-17,Camping,Domestic,25000
1-Mar-17,Camping,International,20000
1-Apr-17,Camping,Domestic,177000
1-Apr-17,Camping,International,120000
1-May-17,Camping,Domestic,428000
1-May-17,Camping,International,113000
1-Jun-17,Camping,Domestic,432000
1-Jun-17,Camping,International,182000
1-Jul-17,Camping,Domestic,491000
1-Jul-17,Camping,International,192000
1-Aug-17,Camping,Domestic,668000
1-Aug-17,Camping,International,220000
1-Sep-17,Camping,Domestic,261000
1-Sep-17,Camping,International,87000
1-Oct-17,Camping,Domestic,112000
1-Oct-17,Camping,International,76000
1-Nov-17,Camping,Domestic,11000
1-Nov-17,Camping,International,21000
1-Dec-17,Camping,Domestic,8000
1-Dec-17,Camping,International,9000
1-Jan-18,Camping,Domestic,6000
1-Jan-18,Camping,International,9000
1-Feb-18,Camping,Domestic,8000
1-Feb-18,Camping,International,9000
1-Mar-18,Camping,Domestic,26000
1-Mar-18,Camping,International,27000
1-Apr-18,Camping,Domestic,188000
1-Apr-18,Camping,International,103000
1-May-18,Camping,Domestic,545000
1-May-18,Camping,International,198000
1-Jun-18,Camping,Domestic,370000
1-Jun-18,Camping,International,144000
1-Jul-18,Camping,Domestic,549000
1-Jul-18,Camping,International,234000
1-Aug-18,Camping,Domestic,694000
1-Aug-18,Camping,International,249000
1-Sep-18,Camping,Domestic,303000
1-Sep-18,Camping,International,111000
1-Oct-18,Camping,Domestic,126000
1-Oct-18,Camping,International,84000
1-Nov-18,Camping,Domestic,11000
1-Nov-18,Camping,International,17000
1-Dec-18,Camping,Domestic,11000
1-Dec-18,Camping,International,7000
1-Jan-19,Camping,Domestic,8000
1-Jan-19,Camping,International,9000
1-Feb-19,Camping,Domestic,9000
1-Feb-19,Camping,International,9000
1-Mar-19,Camping,Domestic,31000
1-Mar-19,Camping,International,23000
1-Apr-19,Camping,Domestic,245000
1-Apr-19,Camping,International,164000
1-May-19,Camping,Domestic,331000
1-May-19,Camping,International,96000
1-Jun-19,Camping,Domestic,603000
1-Jun-19,Camping,International,255000
1-Jul-19,Camping,Domestic,562000
1-Jul-19,Camping,International,247000
1-Aug-19,Camping,Domestic,728000
1-Aug-19,Camping,International,259000
1-Sep-19,Camping,Domestic,307000
1-Sep-19,Camping,International,115000
1-Oct-19,Camping,Domestic,106000
1-Oct-19,Camping,International,103000
1-Nov-19,Camping,Domestic,13000
1-Nov-19,Camping,International,22000
1-Dec-19,Camping,Domestic,9000
1-Dec-19,Camping,International,11000
1-Jan-20,Camping,Domestic,10000
1-Jan-20,Camping,International,12000
1-Feb-20,Camping,Domestic,9000
1-Feb-20,Camping,International,12000
1-Mar-20,Camping,Domestic,14000
1-Mar-20,Camping,International,10000
1-Apr-20,Camping,Domestic,30000
1-Apr-20,Camping,International,3000
1-May-20,Camping,Domestic,147000
1-May-20,Camping,International,19000
1-Jun-20,Camping,Domestic,350000
1-Jun-20,Camping,International,90000
1-Jul-20,Camping,Domestic,747000
1-Jul-20,Camping,International,205000
1-Aug-20,Camping,Domestic,992000
1-Aug-20,Camping,International,186000
1-Sep-20,Camping,Domestic,421000
1-Sep-20,Camping,International,110000
1-Oct-20,Camping,Domestic,121000
1-Oct-20,Camping,International,29000
1-Nov-20,Camping,Domestic,16000
1-Nov-20,Camping,International,4000
1-Dec-20,Camping,Domestic,10000
1-Dec-20,Camping,International,1000
1-Jan-21,Camping,Domestic,8000
1-Jan-21,Camping,International,2000
1-Feb-21,Camping,Domestic,15000
1-Feb-21,Camping,International,2000
1-Mar-21,Camping,Domestic,21000
1-Mar-21,Camping,International,3000
1-Apr-21,Camping,Domestic,206000
1-Apr-21,Camping,International,9000
1-May-21,Camping,Domestic,649000
1-May-21,Camping,International,26000
1-Jun-21,Camping,Domestic,605000
1-Jun-21,Camping,International,66000
1-Jul-21,Camping,Domestic,742000
1-Jul-21,Camping,International,135000
1-Jan-12,Holiday park,International,77000
1-Feb-12,Holiday park,International,69000
1-Mar-12,Holiday park,International,84000
1-Apr-12,Holiday park,International,251000
1-May-12,Holiday park,International,130000
1-Jun-12,Holiday park,International,142000
1-Jul-12,Holiday park,International,185000
1-Aug-12,Holiday park,International,193000
1-Sep-12,Holiday park,International,115000
1-Oct-12,Holiday park,International,193000
1-Nov-12,Holiday park,International,121000
1-Dec-12,Holiday park,International,65000
1-Jan-13,Holiday park,International,72000
1-Feb-13,Holiday park,International,73000
1-Mar-13,Holiday park,International,128000
1-Apr-13,Holiday park,International,223000
1-May-13,Holiday park,International,185000
1-Jun-13,Holiday park,International,147000
1-Jul-13,Holiday park,International,194000
1-Aug-13,Holiday park,International,264000
1-Sep-13,Holiday park,International,166000
1-Oct-13,Holiday park,International,187000
1-Nov-13,Holiday park,International,157000
1-Dec-13,Holiday park,International,75000
1-Jan-14,Holiday park,International,77000
1-Feb-14,Holiday park,International,64000
1-Mar-14,Holiday park,International,113000
1-Apr-14,Holiday park,International,292000
1-May-14,Holiday park,International,128000
1-Jun-14,Holiday park,International,218000
1-Jul-14,Holiday park,International,198000
1-Aug-14,Holiday park,International,273000
1-Sep-14,Holiday park,International,173000
1-Oct-14,Holiday park,International,261000
1-Nov-14,Holiday park,International,102000
1-Dec-14,Holiday park,International,77000
1-Jan-15,Holiday park,International,93000
1-Feb-15,Holiday park,International,100000
1-Mar-15,Holiday park,International,116000
1-Apr-15,Holiday park,International,325000
1-May-15,Holiday park,International,211000
1-Jun-15,Holiday park,International,185000
1-Jul-15,Holiday park,International,262000
1-Aug-15,Holiday park,International,292000
1-Sep-15,Holiday park,International,164000
1-Oct-15,Holiday park,International,247000
1-Nov-15,Holiday park,International,142000
1-Dec-15,Holiday park,International,85000
1-Jan-16,Holiday park,International,99000
1-Feb-16,Holiday park,International,112000
1-Mar-16,Holiday park,International,178000
1-Apr-16,Holiday park,International,251000
1-May-16,Holiday park,International,257000
1-Jun-16,Holiday park,International,169000
1-Jul-16,Holiday park,International,308000
1-Aug-16,Holiday park,International,283000
1-Sep-16,Holiday park,International,202000
1-Oct-16,Holiday park,International,299000
1-Nov-16,Holiday park,International,139000
1-Dec-16,Holiday park,International,90000
1-Jan-17,Holiday park,International,123000
1-Feb-17,Holiday park,International,105000
1-Mar-17,Holiday park,International,118000
1-Apr-17,Holiday park,International,391000
1-May-17,Holiday park,International,219000
1-Jun-17,Holiday park,International,279000
1-Jul-17,Holiday park,International,329000
1-Aug-17,Holiday park,International,288000
1-Sep-17,Holiday park,International,213000
1-Oct-17,Holiday park,International,304000
1-Nov-17,Holiday park,International,169000
1-Dec-17,Holiday park,International,95000
1-Jan-18,Holiday park,International,118000
1-Feb-18,Holiday park,International,119000
1-Mar-18,Holiday park,International,207000
1-Apr-18,Holiday park,International,330000
1-May-18,Holiday park,International,280000
1-Jun-18,Holiday park,International,253000
1-Jul-18,Holiday park,International,358000
1-Aug-18,Holiday park,International,311000
1-Sep-18,Holiday park,International,211000
1-Oct-18,Holiday park,International,312000
1-Nov-18,Holiday park,International,188000
1-Dec-18,Holiday park,International,104000
1-Jan-19,Holiday park,International,128000
1-Feb-19,Holiday park,International,107000
1-Mar-19,Holiday park,International,187000
1-Apr-19,Holiday park,International,459000
1-May-19,Holiday park,International,208000
1-Jun-19,Holiday park,International,333000
1-Jul-19,Holiday park,International,393000
1-Aug-19,Holiday park,International,386000
1-Sep-19,Holiday park,International,270000
1-Oct-19,Holiday park,International,371000
1-Nov-19,Holiday park,International,232000
1-Dec-19,Holiday park,International,122000
1-Jan-20,Holiday park,International,159000
1-Feb-20,Holiday park,International,158000
1-Mar-20,Holiday park,International,88000
1-Apr-20,Holiday park,International,11000
1-May-20,Holiday park,International,27000
1-Jun-20,Holiday park,International,163000
1-Jul-20,Holiday park,International,315000
1-Aug-20,Holiday park,International,226000
1-Sep-20,Holiday park,International,178000
1-Oct-20,Holiday park,International,82000
1-Nov-20,Holiday park,International,19000
1-Dec-20,Holiday park,International,14000
1-Jan-21,Holiday park,International,14000
1-Feb-21,Holiday park,International,42000
1-Mar-21,Holiday park,International,15000
1-Apr-21,Holiday park,International,22000
1-May-21,Holiday park,International,34000
1-Jun-21,Holiday park,International,73000
1-Jul-21,Holiday park,International,230000
1-Jan-12,Holiday park,Domestic,328000
1-Feb-12,Holiday park,Domestic,331000
1-Mar-12,Holiday park,Domestic,364000
1-Apr-12,Holiday park,Domestic,496000
1-May-12,Holiday park,Domestic,564000
1-Jun-12,Holiday park,Domestic,450000
1-Jul-12,Holiday park,Domestic,473000
1-Aug-12,Holiday park,Domestic,539000
1-Sep-12,Holiday park,Domestic,428000
1-Oct-12,Holiday park,Domestic,537000
1-Nov-12,Holiday park,Domestic,373000
1-Dec-12,Holiday park,Domestic,374000
1-Jan-13,Holiday park,Domestic,283000
1-Feb-13,Holiday park,Domestic,351000
1-Mar-13,Holiday park,Domestic,338000
1-Apr-13,Holiday park,Domestic,453000
1-May-13,Holiday park,Domestic,637000
1-Jun-13,Holiday park,Domestic,433000
1-Jul-13,Holiday park,Domestic,509000
1-Aug-13,Holiday park,Domestic,598000
1-Sep-13,Holiday park,Domestic,486000
1-Oct-13,Holiday park,Domestic,511000
1-Nov-13,Holiday park,Domestic,363000
1-Dec-13,Holiday park,Domestic,397000
1-Jan-14,Holiday park,Domestic,304000
1-Feb-14,Holiday park,Domestic,342000
1-Mar-14,Holiday park,Domestic,377000
1-Apr-14,Holiday park,Domestic,417000
1-May-14,Holiday park,Domestic,634000
1-Jun-14,Holiday park,Domestic,534000
1-Jul-14,Holiday park,Domestic,442000
1-Aug-14,Holiday park,Domestic,595000
1-Sep-14,Holiday park,Domestic,494000
1-Oct-14,Holiday park,Domestic,582000
1-Nov-14,Holiday park,Domestic,351000
1-Dec-14,Holiday park,Domestic,374000
1-Jan-15,Holiday park,Domestic,300000
1-Feb-15,Holiday park,Domestic,397000
1-Mar-15,Holiday park,Domestic,376000
1-Apr-15,Holiday park,Domestic,433000
1-May-15,Holiday park,Domestic,680000
1-Jun-15,Holiday park,Domestic,506000
1-Jul-15,Holiday park,Domestic,535000
1-Aug-15,Holiday park,Domestic,595000
1-Sep-15,Holiday park,Domestic,467000
1-Oct-15,Holiday park,Domestic,626000
1-Nov-15,Holiday park,Domestic,409000
1-Dec-15,Holiday park,Domestic,389000
1-Jan-16,Holiday park,Domestic,275000
1-Feb-16,Holiday park,Domestic,418000
1-Mar-16,Holiday park,Domestic,364000
1-Apr-16,Holiday park,Domestic,478000
1-May-16,Holiday park,Domestic,630000
1-Jun-16,Holiday park,Domestic,465000
1-Jul-16,Holiday park,Domestic,494000
1-Aug-16,Holiday park,Domestic,616000
1-Sep-16,Holiday park,Domestic,526000
1-Oct-16,Holiday park,Domestic,612000
1-Nov-16,Holiday park,Domestic,352000
1-Dec-16,Holiday park,Domestic,362000
1-Jan-17,Holiday park,Domestic,374000
1-Feb-17,Holiday park,Domestic,348000
1-Mar-17,Holiday park,Domestic,425000
1-Apr-17,Holiday park,Domestic,503000
1-May-17,Holiday park,Domestic,637000
1-Jun-17,Holiday park,Domestic,541000
1-Jul-17,Holiday park,Domestic,510000
1-Aug-17,Holiday park,Domestic,589000
1-Sep-17,Holiday park,Domestic,533000
1-Oct-17,Holiday park,Domestic,619000
1-Nov-17,Holiday park,Domestic,385000
1-Dec-17,Holiday park,Domestic,395000
1-Jan-18,Holiday park,Domestic,360000
1-Feb-18,Holiday park,Domestic,365000
1-Mar-18,Holiday park,Domestic,451000
1-Apr-18,Holiday park,Domestic,524000
1-May-18,Holiday park,Domestic,605000
1-Jun-18,Holiday park,Domestic,530000
1-Jul-18,Holiday park,Domestic,474000
1-Aug-18,Holiday park,Domestic,641000
1-Sep-18,Holiday park,Domestic,479000
1-Oct-18,Holiday park,Domestic,624000
1-Nov-18,Holiday park,Domestic,399000
1-Dec-18,Holiday park,Domestic,420000
1-Jan-19,Holiday park,Domestic,345000
1-Feb-19,Holiday park,Domestic,384000
1-Mar-19,Holiday park,Domestic,483000
1-Apr-19,Holiday park,Domestic,547000
1-May-19,Holiday park,Domestic,621000
1-Jun-19,Holiday park,Domestic,613000
1-Jul-19,Holiday park,Domestic,506000
1-Aug-19,Holiday park,Domestic,700000
1-Sep-19,Holiday park,Domestic,576000
1-Oct-19,Holiday park,Domestic,602000
1-Nov-19,Holiday park,Domestic,427000
1-Dec-19,Holiday park,Domestic,476000
1-Jan-20,Holiday park,Domestic,371000
1-Feb-20,Holiday park,Domestic,451000
1-Mar-20,Holiday park,Domestic,281000
1-Apr-20,Holiday park,Domestic,68000
1-May-20,Holiday park,Domestic,231000
1-Jun-20,Holiday park,Domestic,530000
1-Jul-20,Holiday park,Domestic,691000
1-Aug-20,Holiday park,Domestic,881000
1-Sep-20,Holiday park,Domestic,644000
1-Oct-20,Holiday park,Domestic,691000
1-Nov-20,Holiday park,Domestic,333000
1-Dec-20,Holiday park,Domestic,371000
1-Jan-21,Holiday park,Domestic,286000
1-Feb-21,Holiday park,Domestic,490000
1-Mar-21,Holiday park,Domestic,424000
1-Apr-21,Holiday park,Domestic,617000
1-May-21,Holiday park,Domestic,965000
1-Jun-21,Holiday park,Domestic,725000
1-Jul-21,Holiday park,Domestic,777000
1-Jan-12,Group accomodations,Domestic,46000
1-Jan-12,Group accomodations,International,2000
1-Feb-12,Group accomodations,Domestic,46000
1-Feb-12,Group accomodations,International,1000
1-Mar-12,Group accomodations,Domestic,80000
1-Mar-12,Group accomodations,International,3000
1-Apr-12,Group accomodations,Domestic,139000
1-Apr-12,Group accomodations,International,8000
1-May-12,Group accomodations,Domestic,181000
1-May-12,Group accomodations,International,11000
1-Jun-12,Group accomodations,Domestic,230000
1-Jun-12,Group accomodations,International,8000
1-Jul-12,Group accomodations,Domestic,102000
1-Jul-12,Group accomodations,International,14000
1-Aug-12,Group accomodations,Domestic,116000
1-Aug-12,Group accomodations,International,17000
1-Sep-12,Group accomodations,Domestic,197000
1-Sep-12,Group accomodations,International,7000
1-Oct-12,Group accomodations,Domestic,120000
1-Oct-12,Group accomodations,International,7000
1-Nov-12,Group accomodations,Domestic,68000
1-Nov-12,Group accomodations,International,3000
1-Dec-12,Group accomodations,Domestic,48000
