Period,Accomodation type,Travel,Tourists
1-Jan-12,Hotel,Domestic,735000
1-Feb-12,Hotel,Domestic,749000
1-Mar-12,Hotel,Domestic,889000
1-Apr-12,Hotel,Domestic,969000
1-May-12,Hotel,Domestic,1060000
1-Jun-12,Hotel,Domestic,1032000
1-Jul-12,Hotel,Domestic,1009000
1-Aug-12,Hotel,Domestic,1106000
1-Sep-12,Hotel,Domestic,1045000
1-Oct-12,Hotel,Domestic,1025000
1-Nov-12,Hotel,Domestic,859000
1-Dec-12,Hotel,Domestic,810000
1-Jan-13,Hotel,Domestic,698000
1-Feb-13,Hotel,Domestic,744000
1-Mar-13,Hotel,Domestic,881000
1-Apr-13,Hotel,Domestic,958000
1-May-13,Hotel,Domestic,1078000
1-Jun-13,Hotel,Domestic,1088000
1-Jul-13,Hotel,Domestic,1067000
1-Aug-13,Hotel,Domestic,1139000
1-Sep-13,Hotel,Domestic,1058000
1-Oct-13,Hotel,Domestic,1044000
1-Nov-13,Hotel,Domestic,897000
1-Dec-13,Hotel,Domestic,852000
1-Jan-14,Hotel,Domestic,745000
1-Feb-14,Hotel,Domestic,763000
1-Mar-14,Hotel,Domestic,971000
1-Apr-14,Hotel,Domestic,977000
1-May-14,Hotel,Domestic,1124000
1-Jun-14,Hotel,Domestic,1116000
1-Jul-14,Hotel,Domestic,1091000
1-Aug-14,Hotel,Domestic,1192000
1-Sep-14,Hotel,Domestic,1133000
1-Oct-14,Hotel,Domestic,1140000
1-Nov-14,Hotel,Domestic,967000
1-Dec-14,Hotel,Domestic,925000
1-Jan-15,Hotel,Domestic,775000
1-Feb-15,Hotel,Domestic,827000
1-Mar-15,Hotel,Domestic,916000
1-Apr-15,Hotel,Domestic,1025000
1-May-15,Hotel,Domestic,1169000
1-Jun-15,Hotel,Domestic,1121000
1-Jul-15,Hotel,Domestic,1119000
1-Aug-15,Hotel,Domestic,1220000
1-Sep-15,Hotel,Domestic,1111000
1-Oct-15,Hotel,Domestic,1165000
1-Nov-15,Hotel,Domestic,998000
1-Dec-15,Hotel,Domestic,964000
1-Jan-16,Hotel,Domestic,854000
1-Feb-16,Hotel,Domestic,913000
1-Mar-16,Hotel,Domestic,1030000
1-Apr-16,Hotel,Domestic,1103000
1-May-16,Hotel,Domestic,1228000
1-Jun-16,Hotel,Domestic,1191000
1-Jul-16,Hotel,Domestic,1205000
1-Aug-16,Hotel,Domestic,1274000
1-Sep-16,Hotel,Domestic,1212000
1-Oct-16,Hotel,Domestic,1252000
1-Nov-16,Hotel,Domestic,1067000
1-Dec-16,Hotel,Domestic,1020000
1-Jan-17,Hotel,Domestic,964000
1-Feb-17,Hotel,Domestic,936000
1-Mar-17,Hotel,Domestic,1100000
1-Apr-17,Hotel,Domestic,1229000
1-May-17,Hotel,Domestic,1295000
1-Jun-17,Hotel,Domestic,1316000
1-Jul-17,Hotel,Domestic,1324000
1-Aug-17,Hotel,Domestic,1382000
1-Sep-17,Hotel,Domestic,1288000
1-Oct-17,Hotel,Domestic,1316000
1-Nov-17,Hotel,Domestic,1106000
1-Dec-17,Hotel,Domestic,1162000
1-Jan-18,Hotel,Domestic,1028000
1-Feb-18,Hotel,Domestic,997000
1-Mar-18,Hotel,Domestic,1169000
1-Apr-18,Hotel,Domestic,1225000
1-May-18,Hotel,Domestic,1355000
1-Jun-18,Hotel,Domestic,1379000
1-Jul-18,Hotel,Domestic,1323000
1-Aug-18,Hotel,Domestic,1443000
1-Sep-18,Hotel,Domestic,1368000
1-Oct-18,Hotel,Domestic,1386000
1-Nov-18,Hotel,Domestic,1178000
1-Dec-18,Hotel,Domestic,1125000
1-Jan-19,Hotel,Domestic,966000
1-Feb-19,Hotel,Domestic,983000
1-Mar-19,Hotel,Domestic,1227000
1-Apr-19,Hotel,Domestic,1227000
1-May-19,Hotel,Domestic,1335000
1-Jun-19,Hotel,Domestic,1410000
1-Jul-19,Hotel,Domestic,1323000
1-Aug-19,Hotel,Domestic,1415000
1-Sep-19,Hotel,Domestic,1355000
1-Oct-19,Hotel,Domestic,1385000
1-Nov-19,Hotel,Domestic,1244000
1-Dec-19,Hotel,Domestic,1189000
1-Jan-20,Hotel,Domestic,1055000
1-Feb-20,Hotel,Domestic,1131000
1-Mar-20,Hotel,Domestic,571000
1-Apr-20,Hotel,Domestic,192000
1-May-20,Hotel,Domestic,401000
1-Jun-20,Hotel,Domestic,908000
1-Jul-20,Hotel,Domestic,1420000
1-Aug-20,Hotel,Domestic,1620000
1-Sep-20,Hotel,Domestic,1355000
1-Oct-20,Hotel,Domestic,985000
1-Nov-20,Hotel,Domestic,773000
1-Dec-20,Hotel,Domestic,649000
1-Jan-21,Hotel,Domestic,366000
1-Feb-21,Hotel,Domestic,549000
1-Mar-21,Hotel,Domestic,593000
1-Apr-21,Hotel,Domestic,791000
1-May-21,Hotel,Domestic,1258000
1-Jun-21,Hotel,Domestic,1346000
1-Jul-21,Hotel,Domestic,1633000
1-Jan-12,Hotel,International,563000
1-Feb-12,Hotel,International,583000
1-Mar-12,Hotel,International,735000
1-Apr-12,Hotel,International,974000
1-May-12,Hotel,International,953000
1-Jun-12,Hotel,International,902000
1-Jul-12,Hotel,International,949000
1-Aug-12,Hotel,International,983000
1-Sep-12,Hotel,International,910000
1-Oct-12,Hotel,International,842000
1-Nov-12,Hotel,International,743000
1-Dec-12,Hotel,International,587000
1-Jan-13,Hotel,International,576000
1-Feb-13,Hotel,International,567000
1-Mar-13,Hotel,International,784000
1-Apr-13,Hotel,International,920000
1-May-13,Hotel,International,1014000
1-Jun-13,Hotel,International,922000
1-Jul-13,Hotel,International,988000
1-Aug-13,Hotel,International,1040000
1-Sep-13,Hotel,International,912000
1-Oct-13,Hotel,International,892000
1-Nov-13,Hotel,International,775000
1-Dec-13,Hotel,International,627000
1-Jan-14,Hotel,International,631000
1-Feb-14,Hotel,International,670000
1-Mar-14,Hotel,International,839000
1-Apr-14,Hotel,International,1052000
1-May-14,Hotel,International,1078000
1-Jun-14,Hotel,International,1020000
1-Jul-14,Hotel,International,1086000
1-Aug-14,Hotel,International,1145000
1-Sep-14,Hotel,International,997000
1-Oct-14,Hotel,International,960000
1-Nov-14,Hotel,International,817000
1-Dec-14,Hotel,International,684000
1-Jan-15,Hotel,International,662000
1-Feb-15,Hotel,International,722000
1-Mar-15,Hotel,International,861000
1-Apr-15,Hotel,International,1126000
1-May-15,Hotel,International,1130000
1-Jun-15,Hotel,International,1078000
1-Jul-15,Hotel,International,1216000
1-Aug-15,Hotel,International,1225000
1-Sep-15,Hotel,International,1071000
1-Oct-15,Hotel,International,1034000
1-Nov-15,Hotel,International,886000
1-Dec-15,Hotel,International,754000
1-Jan-16,Hotel,International,755000
1-Feb-16,Hotel,International,828000
1-Mar-16,Hotel,International,1009000
1-Apr-16,Hotel,International,1126000
1-May-16,Hotel,International,1208000
1-Jun-16,Hotel,International,1086000
1-Jul-16,Hotel,International,1215000
1-Aug-16,Hotel,International,1232000
1-Sep-16,Hotel,International,1101000
1-Oct-16,Hotel,International,1096000
1-Nov-16,Hotel,International,920000
1-Dec-16,Hotel,International,833000
1-Jan-17,Hotel,International,819000
1-Feb-17,Hotel,International,872000
1-Mar-17,Hotel,International,1085000
1-Apr-17,Hotel,International,1392000
1-May-17,Hotel,International,1340000
1-Jun-17,Hotel,International,1317000
1-Jul-17,Hotel,International,1427000
1-Aug-17,Hotel,International,1385000
1-Sep-17,Hotel,International,1237000
1-Oct-17,Hotel,International,1261000
1-Nov-17,Hotel,International,1044000
1-Dec-17,Hotel,International,973000
1-Jan-18,Hotel,International,920000
1-Feb-18,Hotel,International,940000
1-Mar-18,Hotel,International,1161000
1-Apr-18,Hotel,International,1384000
1-May-18,Hotel,International,1393000
1-Jun-18,Hotel,International,1310000
1-Jul-18,Hotel,International,1477000
1-Aug-18,Hotel,International,1471000
1-Sep-18,Hotel,International,1293000
1-Oct-18,Hotel,International,1283000
1-Nov-18,Hotel,International,1076000
1-Dec-18,Hotel,International,965000
1-Jan-19,Hotel,International,943000
1-Feb-19,Hotel,International,1015000
1-Mar-19,Hotel,International,1250000
